#TICID,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
426959594,1940,L2.1,17,No,Yes,0.02378,,0.1283,0.0007,0.014,0.00022,3.64E-54,-40.391,-4.578,-11.398,-30.811,5.942,-4.388,0.221,0.097,0.105,SIMBAD,THIN-DISK,0.988
180724005,2648,M7.2,"2,3,29",Yes,No,0.00137,1.235E+030,,,,,,-6.868,2.005,4.331,2.712,12.525,11.341,8.115,4.814,2.229,SIMBAD,THIN-DISK,0.987
248350761,2388,M9.1,"3,30",No,No,0.00045,,,,,,,-13.31,-12.436,8.064,-3.73,-1.916,15.074,0.265,0.572,1.824,SIMBAD,THIN-DISK,0.985
70555405,2642,M7.3,"3,30",Yes,Yes,0.00001,1.185E+030,0.7027,0.00064,0.0022,0.00008,2.31E-74,-18.642,-50.502,17.299,-9.062,-39.982,24.309,0.467,0.057,0.02,SIMBAD,THIN-DISK,0.934
308243298,2539,M8,"3,4,30,31",No,No,0.01139,,,,,,,36.472,-23.152,-12.305,46.052,-12.632,-5.295,0.489,0.084,0.164,SIMBAD,THIN-DISK,0.985
142944290,2642,M7.3,"4,31",Yes,Yes,0.00939,1.155E+030,1.047,0.00143,0.0017,0.00006,2.67E-39,10.133,-24.825,-14.926,19.713,-14.305,-7.916,0.139,0.867,1.629,SIMBAD,THIN-DISK,0.988
143029977,2313,M9.6,"4,31",No,Yes,0.00592,,0.1593,0.00098,0.0035,0.00009,9.75E-110,-13.488,-5.386,-0.302,-3.908,5.134,6.708,0.411,0.361,0.575,SIMBAD,THIN-DISK,0.988
401945077,2819,M6.1,5,No,Yes,0.00281,,0.7289,0.0204,0.0017,0.00011,4.62E-32,25.567,-23.157,-6.304,35.147,-12.637,0.706,0.773,0.028,0.065,SIMBAD,THIN-DISK,0.986
347994537,2590,M7.7,19,No,Yes,0.10605,,0.9857,0.03877,0.0116,0.00001,<<1E-310,-23.905,-11.994,-0.44,-14.325,-1.474,6.57,3.706,7.669,1.594,SIMBAD,THIN-DISK,0.988
298907057,2714,M6.8,"5,32",Yes,Yes,0.00842,1.298E+030,0.5003,0.00033,0.0096,0.00006,0,-30.658,-15.041,-1.322,-21.078,-4.521,5.688,0.83,0.065,0.103,SIMBAD,THIN-DISK,0.988
442929628,2015,L1.6,"5,6,32",No,No,0.04444,,,,,,,-16.199,-4.143,3.647,-6.619,6.377,10.657,0.798,0.22,0.175,SIMBAD,THIN-DISK,0.986
