#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
420130591 2635.791 2635.803 45.045 0.168 2.310E+32 20
420130591 2394.111 2394.119 44.977 0.201 2.306E+32 20
420130591 1820.404 1820.411 27.049 0.119 1.387E+32 120
420130591 2732.656 2732.669 23.858 0.068 1.223E+32 20
420130591 2437.652 2437.662 23.479 0.067 1.204E+32 20
420130591 1827.117 1827.124 23.419 0.069 1.201E+32 120
420130591 2414.168 2414.178 20.355 0.046 1.044E+32 20
420130591 2443.971 2443.978 19.884 0.068 1.020E+32 20
420130591 1845.360 1845.367 18.053 0.033 9.257E+31 120
420130591 1840.594 1840.601 17.048 0.049 8.742E+31 120
420130591 2396.179 2396.187 16.540 0.052 8.481E+31 20
420130591 1805.529 1805.536 16.038 0.040 8.224E+31 120
420130591 2752.709 2752.715 14.530 0.056 7.451E+31 20
420130591 2587.945 2587.949 13.903 0.073 7.129E+31 20
420130591 2618.558 2618.562 13.668 0.072 7.008E+31 20
420130591 2644.195 2644.200 13.649 0.071 6.999E+31 20
420130591 2657.681 2657.685 9.433 0.040 4.837E+31 20
420130591 2663.199 2663.206 8.957 0.026 4.593E+31 20
420130591 2423.032 2423.036 8.476 0.039 4.346E+31 20
79611981 2123.887 2123.898 9.954 0.028 5.554E+31 20
79611981 2169.191 2169.201 2.805 0.005 1.565E+31 20
79611981 2161.644 2161.644 0.376 0.007 2.100E+30 20
58998044 2523.880 2523.897 29.912 0.040 1.447E+32 20
445064836 1860.686 1860.700 33.145 0.051 1.777E+32 120
445064836 1842.523 1842.533 15.435 0.021 8.276E+31 120
445064836 1863.337 1863.344 14.015 0.052 7.515E+31 120
445064836 1854.604 1854.610 9.109 0.022 4.885E+31 120
445064836 1866.343 1866.347 8.580 0.038 4.601E+31 120
445064836 2590.336 2590.341 10.100 0.046 5.416E+31 20
471016474 2468.829 2468.840 62.259 0.220 2.507E+32 120
471016474 2467.066 2467.140 138.774 0.033 5.587E+32 120
17970570 1906.189 1906.232 763.178 1.265 2.705E+33 120
17970570 1923.490 1923.517 243.526 0.321 8.633E+32 120
17970570 1905.518 1905.532 80.304 0.143 2.847E+32 120
17970570 1922.674 1922.678 43.623 0.194 1.546E+32 120
17970570 2615.401 2615.412 119.052 0.267 4.220E+32 120
63781635 1800.434 1800.455 62.280 0.096 2.399E+32 120
63781635 1796.191 1796.201 22.435 0.039 8.641E+31 120
63781635 1799.605 1799.611 20.530 0.090 7.907E+31 120
63781635 1810.858 1810.863 15.049 0.041 5.796E+31 120
63781635 1800.026 1800.034 14.689 0.029 5.657E+31 120
104123038 2378.587 2378.593 57.209 0.197 1.784E+32 120
43213934 1953.991 1954.003 294.724 0.696 8.029E+32 120
43213934 1939.934 1939.943 76.339 0.153 2.080E+32 120
389051009 1340.238 1340.280 271.527 0.140 8.125E+32 120
389051009 1332.148 1332.177 175.131 0.224 5.241E+32 120
389051009 2080.107 2080.125 156.950 0.273 4.697E+32 20
389051009 2055.555 2055.560 39.647 0.138 1.186E+32 20
389051009 2079.681 2079.685 16.887 0.056 5.053E+31 20
389051009 2079.696 2079.700 11.662 0.043 3.490E+31 20
389051009 2080.116 2080.117 4.962 0.072 1.485E+31 20
389051009 2082.798 2082.799 10.985 0.175 3.287E+31 20
452922110 1493.927 1493.998 848.638 0.445 2.678E+33 120
452922110 1500.523 1500.530 97.460 0.267 3.075E+32 120
452922110 2231.242 2231.247 57.379 0.273 1.810E+32 120
452922110 2231.667 2231.672 46.849 0.211 1.478E+32 120
452922110 2235.470 2235.474 31.515 0.114 9.943E+31 120
117733581 1454.277 1454.291 193.225 0.798 4.017E+32 120
117733581 1463.957 1463.970 98.026 0.199 2.038E+32 120
117733581 1447.996 1448.006 84.374 0.243 1.754E+32 120
117733581 2191.015 2191.023 77.897 0.376 1.619E+32 120
117733581 1442.481 1442.495 76.642 0.144 1.593E+32 120
117733581 1448.232 1448.239 26.538 0.072 5.517E+31 120
117733581 1462.145 1462.149 20.415 0.111 4.244E+31 120
117733581 1452.741 1452.745 10.766 0.037 2.238E+31 120
29780677 1340.072 1340.138 1485.000 2.225 5.233E+33 120
29780677 2147.165 2147.208 911.463 1.663 3.212E+33 20
29780677 2094.395 2094.459 714.363 0.425 2.518E+33 20
29780677 1469.476 1469.504 392.856 0.656 1.385E+33 120
29780677 2043.011 2043.057 239.729 0.092 8.449E+32 120
29780677 1343.284 1343.312 213.449 0.168 7.522E+32 120
29780677 1484.142 1484.155 134.694 0.460 4.747E+32 120
29780677 1380.163 1380.185 133.363 0.116 4.700E+32 120
29780677 1376.024 1376.049 116.965 0.080 4.122E+32 120
29780677 1488.332 1488.359 88.211 0.065 3.109E+32 120
29780677 1643.483 1643.492 77.024 0.278 2.714E+32 120
29780677 1458.725 1458.732 73.762 0.340 2.600E+32 120
29780677 1412.975 1412.993 72.927 0.080 2.570E+32 120
29780677 2215.820 2215.831 59.902 0.108 2.111E+32 20
29780677 1509.439 1509.446 54.098 0.236 1.907E+32 120
29780677 1405.234 1405.241 53.761 0.178 1.895E+32 120
29780677 1470.166 1470.174 47.314 0.137 1.667E+32 120
29780677 1369.874 1369.881 38.144 0.184 1.344E+32 120
29780677 2049.168 2049.177 37.649 0.093 1.327E+32 120
29780677 2153.144 2153.148 34.939 0.168 1.231E+32 20
29780677 1552.086 1552.092 27.862 0.067 9.819E+31 120
29780677 1454.309 1454.315 26.929 0.101 9.490E+31 120
29780677 2177.048 2177.052 20.856 0.081 7.350E+31 20
29780677 1387.255 1387.259 20.284 0.076 7.149E+31 120
29780677 2138.813 2138.817 18.422 0.088 6.492E+31 20
29780677 2197.060 2197.064 12.640 0.046 4.455E+31 20
29780677 2189.523 2189.523 12.424 0.335 4.378E+31 20
29780677 1480.478 1480.483 11.282 0.041 3.976E+31 120
29780677 2121.595 2121.599 10.124 0.032 3.568E+31 20
29780677 2151.138 2151.139 6.787 0.107 2.392E+31 20
29780677 2139.085 2139.086 6.169 0.112 2.174E+31 20
29780677 2225.221 2225.222 5.966 0.073 2.102E+31 20
29780677 2151.109 2151.110 3.843 0.079 1.354E+31 20
49306639 1468.652 1468.675 484.918 1.408 1.666E+33 120
49306639 1473.123 1473.140 250.327 0.369 8.603E+32 120
49306639 1507.859 1507.880 109.048 0.072 3.747E+32 120
49306639 1500.157 1500.168 58.670 0.071 2.016E+32 120
49306639 1501.872 1501.876 19.916 0.082 6.844E+31 120
49306639 1470.552 1470.557 17.470 0.050 6.004E+31 120
197614720 2078.327 2078.331 25.680 0.107 6.557E+31 120
405503787 2660.546 2660.568 54.019 0.137 2.660E+32 20
405503787 1760.189 1760.204 36.263 0.044 1.786E+32 120
405503787 1725.735 1725.744 23.582 0.054 1.161E+32 120
405503787 2649.535 2649.543 12.394 0.031 6.104E+31 20
942944661 2296.796 2296.802 16.388 0.042 3.874E+31 20
942944661 2301.164 2301.171 23.065 0.056 5.452E+31 20
942944661 2296.596 2296.602 30.598 0.134 7.233E+31 20
808442168 1560.749 1560.791 1087.998 3.333 2.315E+33 120
808442168 1559.659 1559.674 76.694 0.258 1.632E+32 120
808442168 1567.188 1567.193 47.902 0.160 1.019E+32 120
808442168 1558.496 1558.500 13.444 0.057 2.861E+31 120
808442168 1588.006 1588.193 2460.884 0.465 5.236E+33 120
808442168 1571.581 1571.593 94.278 0.145 2.006E+32 120
808442168 2277.747 2277.760 48.511 0.068 1.032E+32 20
808442168 2284.712 2284.718 40.073 0.156 8.527E+31 20
808442168 2284.172 2284.174 11.646 0.100 2.478E+31 20
808442168 2317.796 2317.803 40.898 0.140 8.702E+31 20
808442168 2323.523 2323.527 13.413 0.049 2.854E+31 20
156691155 1933.675 1933.737 1172.265 0.664 3.812E+33 120
156691155 2689.905 2689.980 754.063 0.582 2.452E+33 120
156691155 2690.076 2690.096 157.481 0.373 5.121E+32 120
156691155 2672.959 2672.976 89.071 0.126 2.897E+32 120
156691155 2677.803 2677.811 72.842 0.260 2.369E+32 120
156691155 2673.983 2673.990 43.304 0.169 1.408E+32 120
156691155 2672.884 2672.891 35.121 0.122 1.142E+32 120
156691155 2690.891 2690.897 34.102 0.144 1.109E+32 120
156691155 2691.196 2691.201 26.981 0.075 8.774E+31 120
156691155 2671.289 2671.293 19.886 0.090 6.467E+31 120
219095664 1935.343 1935.352 80.232 0.187 2.087E+32 120
219095664 2617.191 2617.197 72.682 0.272 1.890E+32 120
277539431 1641.824 1641.966 2487.328 0.331 6.625E+33 120
277539431 1641.545 1641.567 200.082 0.212 5.329E+32 120
277539431 2322.632 2322.653 133.543 0.121 3.557E+32 120
277539431 1647.934 1647.943 64.620 0.098 1.721E+32 120
277539431 1641.812 1641.819 64.116 0.187 1.708E+32 120
277539431 2368.939 2368.943 35.716 0.166 9.513E+31 120
277539431 2324.938 2324.945 29.853 0.072 7.951E+31 120
277539431 2309.567 2309.571 27.769 0.161 7.396E+31 120
277539431 2315.953 2315.959 18.160 0.043 4.837E+31 120
316627328 1839.819 1839.828 191.653 0.706 7.235E+32 120
316627328 1833.579 1833.589 105.992 0.384 4.001E+32 120
316627328 1794.415 1794.425 25.212 0.043 9.518E+31 120
